asset,first_impulse,exact_duplicate_group
1785848537847.png,užverti / apsaugoti įėjimą,
1785948607280.png,eiti pirmyn keliu,
1785953738880.png,stabilumas / ramybė,
1785953971401.png,augti / stiprėti,
1785954922572.png,augimo potencialas,
1785956727006.png,laukti / stebėti laiką,
1785956869790.png,laukti / stebėti laiką,
1785957712356.png,sudėlioti / sutvarkyti formas,
1785958387007.png,palyginti skirtingas formas,
1785959292437.png,būti kartu / greta,
1786077050034.png,atsigerti / atsigaivinti,
1786483758140.png,sujungimas / susipynimas,
1786483812592.png,sudėtingas susipynimas,
1786484055280.png,sujungtas sudėtingumas,
1786484164643.png,ribojama / perverta forma,
1786484517934.png,paprastumas / ramybė,
1786484943862.png,laikyti / talpinti,
1786485951669.png,pažeidimas / neužbaigtumas,
1786519122594.png,tvarka / išdėstymas,
1786520775730.png,judėjimo keliai tarp taškų,
1786526693480.png,išrikiuoti / sulygiuoti,
1786527941785.png,sugrupuoti / sutelkti,
1786534423740.png,įvairovė / rinktis iš variantų,
1786544004102.png,sujungti dvi dalis,
1786549546363.png,sudėlioti į vietas / kanalus,
1786549810795.png,sudėlioti / surūšiuoti į vietas,
1788135386167.png,tiksliai sureguliuoti / surinkti,
20260730_021211612.png,patikrinti / naudoti telefoną,
20260730_021307919.png,atsitraukti ir žiūrėti į išorę,DUP-20260730_021307919.png
20260730_021452636.png,susikaupti į darbą,
20260730_021546130.png,bendrauti / būti kartu,
20260730_021743687.png,bendrauti grupėje,
20260730_021959928.png,laukti / tuščia vieta,
20260730_022124068.png,susikaupti prie kompiuterio,
20260730_054722922.png,formali tvarka / pasiruošimas susitikimui,
20260730_055810635.png,būti vienam / izoliuotam,
20260730_063301075.png,eiti pirmyn koridoriumi,
20260730_063306116.png,užbaigti / pažymėti atlikta,
20260730_082954248.png,tuščia vieta / neapibrėžtumas,
20260730_083210762.png,eiti pro atviras duris,
20260730_151043136.png,susitikti akis į akį,
20260730_215302742.png,prisėsti / pailsėti,
20260730_220242146.png,šiluma / komfortas,
20260730_220401962.png,paspausti / aktyvuoti,
20260730_220607033.png,keliauti pirmyn,
20260730_220850179.png,prisėsti / pailsėti,
20260730_221121465.png,pernešti / sustatyti dėžes,
20260730_221331296.png,žengti / išlaikyti pusiausvyrą,
20260730_221752623.png,rašyti / planuoti,
20260730_224059303.png,įjungti / pakeisti aplinkos būseną,
20260730_225245087.png,eiti pirmyn aiškiu koridoriumi,
20260730_225843628.png,formalumas / susitikimo erdvė,
20260730_230028095.png,tuščia darbo vieta / pasiruošimas,
20260730_230227381.png,mokytis / būti klasėje,
20260730_230415808.png,tvarka / paskirtos vietos,
20260730_230640978.png,atsisėsti / pasirinkti vietą,
20260730_230816104.png,dalintis gėrimu / būti poroje,
20260730_231110127.png,pasiimti raktą / gauti prieigą,
20260730_231228063.png,skaityti / aiškiau matyti,
20260730_231341935.png,apsisaugoti nuo lietaus,
20260730_231722801.png,uždengti / paslėpti,
20260730_232028213.png,ramybė / atvira erdvė,
20260730_232524706.png,pokytis / laiko tėkmė,
20260730_232545797.png,sekti pėdsakais / eiti toliau,
20260730_232639585.png,lietus / paviršiaus pojūtis,
20260730_232645452.png,riba / atspindys,
